SourceGene	Shared_trans-eQTLs	Neighbors_T1	Neighbors_T2	trans-eQTLs_T1	trans-eQTLs_T2
ENSG00000003436.10	0	1	1	1	0
ENSG00000204257.10	0	3	2	0	0
ENSG00000118245.2	3	6	3	5	3
ENSG00000143457.6	1	1	1	1	1
ENSG00000135480.10	0	18	12	9	0
ENSG00000224389.4	0	1	1	1	0
ENSG00000164587.7	0	29	18	0	0
ENSG00000164611.8	0	6	3	0	1
ENSG00000198929.8	1	1	1	1	1
ENSG00000137154.8	0	39	36	9	0
ENSG00000205426.6	1	47	27	6	6
ENSG00000265681.2	7	35	33	8	9
ENSG00000135917.9	0	19	11	9	0
ENSG00000087245.8	5	22	19	9	6
ENSG00000188257.6	0	11	2	0	0
ENSG00000072778.15	1	2	1	2	1
ENSG00000142227.6	0	3	1	2	1
ENSG00000187193.8	0	6	6	4	1
ENSG00000184811.3	4	29	24	9	9
ENSG00000206503.7	0	4	2	0	0
ENSG00000244355.3	1	63	39	9	1
ENSG00000203907.5	0	1	1	0	1
ENSG00000130635.11	0	1	3	0	1
ENSG00000186226.7	2	3	2	2	2
ENSG00000198035.9	1	1	1	1	1
ENSG00000152082.9	1	6	1	6	1
ENSG00000001630.11	0	1	4	0	2
ENSG00000155657.19	2	2	8	2	5
ENSG00000136695.10	0	2	1	2	0
ENSG00000130255.8	0	48	34	0	9
ENSG00000104783.7	5	22	11	9	9
ENSG00000091986.11	3	17	15	3	9
ENSG00000099290.11	1	1	1	1	1
ENSG00000138207.8	7	17	21	9	9
ENSG00000142089.11	2	23	11	3	9
ENSG00000108821.9	6	16	14	9	9
ENSG00000108107.8	0	30	17	1	0
ENSG00000234745.5	0	4	3	4	0
ENSG00000100345.16	0	1	1	1	0
ENSG00000176340.3	2	5	2	5	2
ENSG00000168481.4	6	7	8	7	8
ENSG00000121716.14	1	1	1	1	1
ENSG00000100448.3	1	4	2	2	1
ENSG00000181092.5	0	27	21	9	0
ENSG00000198854.4	0	29	24	0	2
ENSG00000175206.6	1	5	2	5	1
ENSG00000169035.7	0	1	1	1	0
ENSG00000104856.9	0	2	2	0	0
ENSG00000174748.14	2	46	34	6	9
ENSG00000203785.4	0	3	4	0	0
ENSG00000188234.9	1	1	1	1	1
ENSG00000238083.3	2	2	2	2	2
ENSG00000180155.14	1	13	2	1	2
ENSG00000178372.6	0	15	14	0	0
ENSG00000196735.7	2	2	2	2	2
ENSG00000176681.10	1	1	2	1	2
ENSG00000096088.12	3	3	4	3	4
ENSG00000067082.10	0	17	1	8	0
ENSG00000196805.6	0	5	5	4	1
ENSG00000169469.7	0	4	1	1	0
ENSG00000010278.7	1	2	1	1	1
ENSG00000099984.6	1	1	1	1	1
ENSG00000121742.11	0	7	1	0	0
ENSG00000198755.6	0	56	38	0	1
ENSG00000101439.4	4	29	20	9	9
ENSG00000125743.6	0	39	12	0	0
ENSG00000185829.11	1	1	1	1	1
ENSG00000079459.8	0	5	7	5	0
ENSG00000145425.5	8	33	33	9	9
ENSG00000171446.6	1	57	33	9	1
ENSG00000108244.12	0	31	1	9	0
ENSG00000197766.3	5	31	17	7	9
ENSG00000147604.9	5	45	36	9	9
ENSG00000175121.7	0	24	2	0	0
ENSG00000240065.3	0	3	1	0	0
ENSG00000170667.10	1	1	1	1	1
ENSG00000141756.14	0	1	1	0	0
ENSG00000120885.15	0	25	1	4	0
ENSG00000104408.5	5	28	27	9	9
ENSG00000120071.8	1	1	2	1	2
ENSG00000124067.12	1	1	1	1	1
ENSG00000206077.6	1	1	1	1	1
ENSG00000163209.10	2	3	2	3	2
ENSG00000175416.8	0	3	1	2	0
ENSG00000167840.9	1	1	1	1	1
#trans-eQTLs_Both	trans-eQTLs_T1	trans-eQTLs_T2
#286	1474	1015
